[195,   195] loss: 0.149
[196,   195] loss: 0.150
[197,   195] loss: 0.152
[198,   195] loss: 0.147
[199,   195] loss: 0.149
[200,   195] loss: 0.143
Accuracy of plane : 85 %
Accuracy of   car : 88 %
Accuracy of  bird : 73 %
Accuracy of   cat : 60 %
Accuracy of  deer : 74 %
Accuracy of   dog : 75 %
Accuracy of  frog : 82 %
Accuracy of horse : 85 %
Accuracy of  ship : 88 %
Accuracy of truck : 84 %
Total Accuracy is : 79.740%
[201,   195] loss: 0.081
[202,   195] loss: 0.064
[203,   195] loss: 0.061
[204,   195] loss: 0.058
[205,   195] loss: 0.054
[206,   195] loss: 0.055
[207,   195] loss: 0.055
[208,   195] loss: 0.051
[209,   195] loss: 0.050
[210,   195] loss: 0.048
[211,   195] loss: 0.051
[212,   195] loss: 0.050
[213,   195] loss: 0.046
[214,   195] loss: 0.043
[215,   195] loss: 0.046
[216,   195] loss: 0.043
[217,   195] loss: 0.045
[218,   195] loss: 0.043
[219,   195] loss: 0.042
[220,   195] loss: 0.042
[221,   195] loss: 0.042
[222,   195] loss: 0.045
[223,   195] loss: 0.042
[224,   195] loss: 0.042
[225,   195] loss: 0.041
[226,   195] loss: 0.040
[227,   195] loss: 0.040
[228,   195] loss: 0.040
[229,   195] loss: 0.040
[230,   195] loss: 0.039
[231,   195] loss: 0.038
[232,   195] loss: 0.038
[233,   195] loss: 0.037
[234,   195] loss: 0.038
[235,   195] loss: 0.038
[236,   195] loss: 0.038
[237,   195] loss: 0.039
[238,   195] loss: 0.037
[239,   195] loss: 0.037
[240,   195] loss: 0.037
[241,   195] loss: 0.037
[242,   195] loss: 0.038
[243,   195] loss: 0.037
[244,   195] loss: 0.035
[245,   195] loss: 0.035
[246,   195] loss: 0.036
[247,   195] loss: 0.036
[248,   195] loss: 0.035
[249,   195] loss: 0.035
[250,   195] loss: 0.035
Accuracy of plane : 86 %
Accuracy of   car : 87 %
Accuracy of  bird : 78 %
Accuracy of   cat : 61 %
Accuracy of  deer : 78 %
Accuracy of   dog : 71 %
Accuracy of  frog : 85 %
Accuracy of horse : 86 %
Accuracy of  ship : 89 %
Accuracy of truck : 89 %
Total Accuracy is : 81.480%
[251,   195] loss: 0.031
[252,   195] loss: 0.029
[253,   195] loss: 0.030
[254,   195] loss: 0.028
[255,   195] loss: 0.028
[256,   195] loss: 0.028
[257,   195] loss: 0.028
[258,   195] loss: 0.028
[259,   195] loss: 0.027
[260,   195] loss: 0.028
[261,   195] loss: 0.027
[262,   195] loss: 0.027
[263,   195] loss: 0.027
[264,   195] loss: 0.027
[265,   195] loss: 0.027
[266,   195] loss: 0.026
[267,   195] loss: 0.028
[268,   195] loss: 0.028
[269,   195] loss: 0.028
[270,   195] loss: 0.028
[271,   195] loss: 0.027
[272,   195] loss: 0.027
[273,   195] loss: 0.027
[274,   195] loss: 0.027
[275,   195] loss: 0.026
[276,   195] loss: 0.027
[277,   195] loss: 0.026
[278,   195] loss: 0.026
[279,   195] loss: 0.026
[280,   195] loss: 0.028
[281,   195] loss: 0.027
[282,   195] loss: 0.026
[283,   195] loss: 0.025
[284,   195] loss: 0.028
[285,   195] loss: 0.027
[286,   195] loss: 0.026
[287,   195] loss: 0.027
[288,   195] loss: 0.027
[289,   195] loss: 0.025
[290,   195] loss: 0.026
[291,   195] loss: 0.027
[292,   195] loss: 0.027
[293,   195] loss: 0.026
[294,   195] loss: 0.026
[295,   195] loss: 0.026
[296,   195] loss: 0.024
[297,   195] loss: 0.025
[298,   195] loss: 0.026
[299,   195] loss: 0.026
[300,   195] loss: 0.025
Accuracy of plane : 84 %
Accuracy of   car : 91 %
Accuracy of  bird : 74 %
Accuracy of   cat : 69 %
Accuracy of  deer : 79 %
Accuracy of   dog : 71 %
Accuracy of  frog : 86 %
Accuracy of horse : 86 %
Accuracy of  ship : 89 %
Accuracy of truck : 88 %
Total Accuracy is : 82.160%
Finished Training
Accuracy of plane : 84 %
Accuracy of   car : 92 %
Accuracy of  bird : 73 %
Accuracy of   cat : 67 %
Accuracy of  deer : 77 %
Accuracy of   dog : 71 %
Accuracy of  frog : 86 %
Accuracy of horse : 86 %
Accuracy of  ship : 88 %
Accuracy of truck : 88 %
Total Accuracy is : 81.660%
max_epoch : 299 max_acc : 0.822 learning_rate : 0.00001 decay : 0.00015
