[195,   195] loss: 0.158
[196,   195] loss: 0.152
[197,   195] loss: 0.156
[198,   195] loss: 0.152
[199,   195] loss: 0.157
[200,   195] loss: 0.155
Accuracy of plane : 71 %
Accuracy of   car : 87 %
Accuracy of  bird : 71 %
Accuracy of   cat : 58 %
Accuracy of  deer : 78 %
Accuracy of   dog : 80 %
Accuracy of  frog : 82 %
Accuracy of horse : 81 %
Accuracy of  ship : 88 %
Accuracy of truck : 90 %
Total Accuracy is : 78.950%
[201,   195] loss: 0.092
[202,   195] loss: 0.078
[203,   195] loss: 0.070
[204,   195] loss: 0.067
[205,   195] loss: 0.067
[206,   195] loss: 0.062
[207,   195] loss: 0.061
[208,   195] loss: 0.060
[209,   195] loss: 0.059
[210,   195] loss: 0.058
[211,   195] loss: 0.056
[212,   195] loss: 0.057
[213,   195] loss: 0.055
[214,   195] loss: 0.053
[215,   195] loss: 0.054
[216,   195] loss: 0.054
[217,   195] loss: 0.054
[218,   195] loss: 0.050
[219,   195] loss: 0.050
[220,   195] loss: 0.050
[221,   195] loss: 0.051
[222,   195] loss: 0.050
[223,   195] loss: 0.049
[224,   195] loss: 0.050
[225,   195] loss: 0.051
[226,   195] loss: 0.050
[227,   195] loss: 0.048
[228,   195] loss: 0.050
[229,   195] loss: 0.046
[230,   195] loss: 0.045
[231,   195] loss: 0.045
[232,   195] loss: 0.045
[233,   195] loss: 0.046
[234,   195] loss: 0.046
[235,   195] loss: 0.047
[236,   195] loss: 0.047
[237,   195] loss: 0.046
[238,   195] loss: 0.045
[239,   195] loss: 0.044
[240,   195] loss: 0.044
[241,   195] loss: 0.043
[242,   195] loss: 0.043
[243,   195] loss: 0.045
[244,   195] loss: 0.046
[245,   195] loss: 0.041
[246,   195] loss: 0.042
[247,   195] loss: 0.041
[248,   195] loss: 0.042
[249,   195] loss: 0.042
[250,   195] loss: 0.040
Accuracy of plane : 83 %
Accuracy of   car : 90 %
Accuracy of  bird : 74 %
Accuracy of   cat : 66 %
Accuracy of  deer : 77 %
Accuracy of   dog : 72 %
Accuracy of  frog : 83 %
Accuracy of horse : 85 %
Accuracy of  ship : 89 %
Accuracy of truck : 88 %
Total Accuracy is : 81.240%
[251,   195] loss: 0.037
[252,   195] loss: 0.036
[253,   195] loss: 0.034
[254,   195] loss: 0.034
[255,   195] loss: 0.036
[256,   195] loss: 0.035
[257,   195] loss: 0.033
[258,   195] loss: 0.034
[259,   195] loss: 0.033
[260,   195] loss: 0.034
[261,   195] loss: 0.033
[262,   195] loss: 0.033
[263,   195] loss: 0.034
[264,   195] loss: 0.032
[265,   195] loss: 0.033
[266,   195] loss: 0.033
[267,   195] loss: 0.030
[268,   195] loss: 0.034
[269,   195] loss: 0.032
[270,   195] loss: 0.031
[271,   195] loss: 0.031
[272,   195] loss: 0.032
[273,   195] loss: 0.033
[274,   195] loss: 0.034
[275,   195] loss: 0.032
[276,   195] loss: 0.031
[277,   195] loss: 0.032
[278,   195] loss: 0.032
[279,   195] loss: 0.033
[280,   195] loss: 0.032
[281,   195] loss: 0.032
[282,   195] loss: 0.032
[283,   195] loss: 0.032
[284,   195] loss: 0.031
[285,   195] loss: 0.032
[286,   195] loss: 0.034
[287,   195] loss: 0.030
[288,   195] loss: 0.031
[289,   195] loss: 0.031
[290,   195] loss: 0.033
[291,   195] loss: 0.032
[292,   195] loss: 0.031
[293,   195] loss: 0.031
[294,   195] loss: 0.033
[295,   195] loss: 0.031
[296,   195] loss: 0.029
[297,   195] loss: 0.032
[298,   195] loss: 0.031
[299,   195] loss: 0.031
[300,   195] loss: 0.032
Accuracy of plane : 85 %
Accuracy of   car : 89 %
Accuracy of  bird : 74 %
Accuracy of   cat : 66 %
Accuracy of  deer : 79 %
Accuracy of   dog : 73 %
Accuracy of  frog : 86 %
Accuracy of horse : 84 %
Accuracy of  ship : 90 %
Accuracy of truck : 87 %
Total Accuracy is : 81.760%
Finished Training
Accuracy of plane : 84 %
Accuracy of   car : 89 %
